grid_lat,grid_lon,total_violations,unique_days_active,avg_base_impact,max_base_impact,recurrence_rate,historical_risk_score
12.842,77.648,150,36,12.9,25.0,0.23841059602649006,54.02636202456081
12.842,77.665,2,2,22.5,25.0,0.013245033112582781,3.5891504404054615
12.842,77.676,3,2,13.333333333333334,20.0,0.013245033112582781,3.212084974509563
12.842,77.686,2,2,12.5,15.0,0.013245033112582781,1.974340863173914
12.842,77.687,2,1,15.0,15.0,0.006622516556291391,1.0418218568286584
12.843,77.639,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.843,77.642,5,5,25.0,35.0,0.033112582781456956,13.993390494975975
12.843,77.643,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.843,77.644,87,46,14.942528735632184,20.0,0.304635761589404,52.671606017933726
12.843,77.645,7,4,12.857142857142858,20.0,0.026490066225165563,10.276203059712547
12.843,77.674,2,2,17.5,20.0,0.013245033112582781,2.818329864827709
12.843,77.675,3,3,20.0,20.0,0.019867549668874173,6.412490486341915
12.843,77.687,3,2,15.0,20.0,0.013245033112582781,3.5891504404054615
12.843,77.688,8,6,15.625,20.0,0.039735099337748346,15.322243540757603
12.844,77.588,1,1,10.0,10.0,0.006622516556291391,0.0
12.844,77.644,38,26,16.842105263157894,35.0,0.17218543046357615,41.3480056100405
12.844,77.645,3,3,23.333333333333332,35.0,0.019867549668874173,7.1844263614334976
12.844,77.649,2,1,20.0,20.0,0.006622516556291391,1.520292689605736
12.844,77.688,2,2,15.0,15.0,0.013245033112582781,2.406338981120955
12.845,77.657,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.845,77.665,4,4,12.5,15.0,0.026490066225165563,6.934482583482734
12.845,77.666,1,1,10.0,10.0,0.006622516556291391,0.0
12.846,77.588,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.846,77.647,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.846,77.648,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.846,77.672,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.846,77.681,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.847,77.672,5,5,19.0,20.0,0.033112582781456956,12.082206977548616
12.848,77.658,5,1,19.0,20.0,0.006622516556291391,3.7718552871261948
12.849,77.671,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.85,77.589,1,1,10.0,10.0,0.006622516556291391,0.0
12.85,77.652,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.85,77.658,5,2,13.0,15.0,0.013245033112582781,4.955417095415578
12.851,77.588,12,11,16.25,20.0,0.0728476821192053,23.645048626297353
12.851,77.657,47,4,12.553191489361701,15.0,0.026490066225165563,24.441479247387303
12.851,77.658,10,2,13.0,15.0,0.013245033112582781,8.338556618493161
12.852,77.588,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.853,77.588,2,2,20.0,20.0,0.013245033112582781,3.212084974509563
12.853,77.589,3,2,15.0,15.0,0.013245033112582781,3.5891504404054615
12.854,77.588,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.854,77.589,6,4,15.833333333333334,20.0,0.026490066225165563,10.617796389702216
12.854,77.662,18,4,11.944444444444445,20.0,0.026490066225165563,16.34713624580579
12.855,77.589,7,7,15.0,20.0,0.046357615894039736,15.172871033233392
12.855,77.664,5,4,14.0,20.0,0.026490066225165563,8.761316108941976
12.855,77.665,23,11,15.217391304347826,35.0,0.0728476821192053,28.58645716311842
12.855,77.666,4,4,16.25,20.0,0.026490066225165563,8.338556618493161
12.855,77.675,1,1,10.0,10.0,0.006622516556291391,0.0
12.856,77.569,1,1,10.0,10.0,0.006622516556291391,0.0
12.856,77.589,6,4,15.0,20.0,0.026490066225165563,10.276203059712547
12.856,77.663,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.856,77.664,17,9,15.294117647058824,20.0,0.059602649006622516,24.37032802143554
12.856,77.665,3,3,16.666666666666668,20.0,0.019867549668874173,5.567164050691393
12.857,77.53,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.857,77.589,18,13,15.277777777777779,20.0,0.08609271523178808,27.952880739695885
12.857,77.59,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.857,77.663,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.857,77.664,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.858,77.589,23,17,16.73913043478261,20.0,0.11258278145695365,33.16832257632076
12.859,77.589,2,1,17.5,20.0,0.006622516556291391,1.2842731904094056
12.859,77.59,2,2,15.0,20.0,0.013245033112582781,2.406338981120955
12.859,77.703,3,2,20.0,20.0,0.013245033112582781,4.6330117721868636
12.86,77.528,1,1,25.0,25.0,0.006622516556291391,0.7925782932053322
12.86,77.648,4,4,11.25,15.0,0.026490066225165563,6.412490486341917
12.86,77.66,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.86,77.661,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.861,77.529,13,7,18.076923076923077,25.0,0.046357615894039736,21.459785988239663
12.861,77.53,7,6,17.142857142857142,20.0,0.039735099337748346,15.020947933135337
12.861,77.59,3,2,13.333333333333334,20.0,0.013245033112582781,3.212084974509563
12.861,77.613,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.861,77.648,1,1,10.0,10.0,0.006622516556291391,0.0
12.861,77.66,5,4,18.0,25.0,0.026490066225165563,10.276203059712547
12.861,77.674,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.861,77.675,3,1,18.333333333333332,25.0,0.006622516556291391,2.192961527403768
12.862,77.529,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.862,77.53,18,8,17.77777777777778,20.0,0.052980132450331126,25.123345782701517
12.862,77.59,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.862,77.706,2,1,20.0,20.0,0.006622516556291391,1.520292689605736
12.863,77.53,17,8,18.823529411764707,20.0,0.052980132450331126,25.123345782701517
12.863,77.531,6,3,20.0,20.0,0.019867549668874173,10.276203059712547
12.863,77.658,1,1,25.0,25.0,0.006622516556291391,0.7925782932053322
12.864,77.533,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.865,77.533,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.865,77.656,2,2,20.0,25.0,0.013245033112582781,3.212084974509563
12.865,77.657,2,2,22.5,25.0,0.013245033112582781,3.5891504404054615
12.866,77.534,3,3,16.666666666666668,20.0,0.019867549668874173,5.567164050691393
12.866,77.535,10,8,18.0,25.0,0.052980132450331126,20.381426420703104
12.866,77.536,3,3,16.666666666666668,20.0,0.019867549668874173,5.567164050691393
12.866,77.592,4,3,16.25,20.0,0.019867549668874173,6.806827403905509
12.867,77.534,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.867,77.535,6,5,20.0,25.0,0.033112582781456956,13.702028069427346
12.867,77.581,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.867,77.655,1,1,25.0,25.0,0.006622516556291391,0.7925782932053322
